Enzyme	Concentration
R_rxn02703_c_enzyme	0.0
R_rxn00086_c_enzyme	2.6678464306778024e-08
R_rxn01124_c_duplicate_2_enzyme	0.0
R_rxn05682_c_duplicate_2_enzyme	0.0
R_rxn05654_c_duplicate_2_enzyme	0.0
R_rxn00988_c_duplicate_8_enzyme	0.0
R_rxn00285_c_enzyme	1.0067812337112782e-05
R_rxn00707_c_duplicate_2_enzyme	0.0
R_rxn06372_c_enzyme	0.0
R_rxn12846_c_enzyme	0.0
R_rxn01642_c_duplicate_2_enzyme	0.0
R_rxn00947_c_duplicate_3_enzyme	0.0
R_rxn10337_c_enzyme	0.0
R_rxn06437_c_enzyme	2.680318170273057e-07
R_rxn10270_c_enzyme	0.0
R_rxn04779_c_enzyme	0.0
R_rxn00183_c_duplicate_2_enzyme	0.0
R_rxn04597_c_enzyme	0.0
R_rxn03406_c_enzyme	0.0
R_rxn05375_c_enzyme	0.0
R_rxn10770_c_duplicate_7_enzyme	0.0
R_rxn00077_c_enzyme	2.3330314907937273e-09
R_rxn05146_c_enzyme	0.0
R_rxn05163_c_enzyme	0.0
R_rxn00943_c_enzyme	1.353455195939818e-07
R_rxn06386_c_enzyme	0.0
R_rxn00452_c_enzyme	0.0
R_rxn03360_c_enzyme	0.0
R_rxn00727_c_enzyme	0.0
R_rxn01499_c_enzyme	0.0
R_rxn01825_c_enzyme	0.0
R_rxn02212_c_enzyme	5.533827254118181e-07
R_rxn09449_c_duplicate_4_enzyme	0.0
R_rxn05616_c_enzyme	0.0
R_rxn09272_c_duplicate_2_enzyme	0.0
R_EX_cpd00137_e_enzyme	0
R_rxn00527_c_duplicate_7_enzyme	0.0
R_rxn02342_c_enzyme	1.1604042714338794e-06
R_rxn05814_c_enzyme	0.0
R_rxn00539_c_duplicate_2_enzyme	0.0
R_rxn09449_c_duplicate_3_enzyme	0.0
R_rxn06729_c_enzyme	3.5013079930274933e-07
R_rxn00710_c_enzyme	6.321588730523616e-07
R_EX_cpd03343_e_enzyme	0
R_rxn01975_c_duplicate_2_enzyme	0.0
R_rxn00543_c_duplicate_3_enzyme	0.0
R_rxn07432_c_enzyme	0.0
R_rxn00912_c_duplicate_2_enzyme	6.362813156708271e-10
R_rxn12645_c_duplicate_2_enzyme	0.0
R_rxn07430_c_enzyme	0.0
R_rxn10150_c_enzyme	0.0
R_rxn11809_c_duplicate_6_enzyme	0.0
R_rxn01461_c_enzyme	1.4846564032310661e-08
R_rxn00171_c_duplicate_2_enzyme	0.0
R_rxn00839_c_enzyme	0.0
R_rxn01477_c_enzyme	0.0
R_rxn01504_c_enzyme	0.0
R_rxn08703_c_enzyme	0.0
R_rxn02475_c_duplicate_2_enzyme	0.0
R_rxn05872_c_duplicate_2_enzyme	0.0
R_rxn03848_c_enzyme	0.0
R_rxn01453_c_enzyme	0.0
R_rxn04908_c_duplicate_7_enzyme	0.0
R_rxn02362_c_enzyme	0.0
R_EX_cpd00116_e_enzyme	0
R_rxn10162_c_duplicate_3_enzyme	0.0
R_rxn03242_c_duplicate_2_enzyme	0.0
R_rxn00758_c_enzyme	0.0
R_rxn03721_c_enzyme	0.0
R_rxn02596_c_duplicate_2_enzyme	0.0
R_rxn05744_c_enzyme	3.542391790997301e-05
R_rxn01530_c_duplicate_3_enzyme	0.0
R_rxn12646_c_duplicate_5_enzyme	0.0
R_rxn05350_c_duplicate_2_enzyme	0.0
R_rxn00935_c_duplicate_2_enzyme	0.0
R_rxn01332_c_duplicate_3_enzyme	4.5950554702525204e-05
R_rxn00988_c_duplicate_6_enzyme	0.0
R_rxn09265_c_enzyme	0.0
R_rxn02835_c_enzyme	4.2137864412254756e-06
R_rxn04736_c_duplicate_5_enzyme	0.0
R_rxn00293_c_duplicate_3_enzyme	0.0
