R_rxn00670_c_enzyme	1xPN96_03360
R_rxn00670_c_duplicate_2_enzyme	1xPN96_22000
R_rxn00671_c_enzyme	1xPN96_21460
R_rxn00671_c_duplicate_2_enzyme	1xPN96_19055
R_rxn00674_c_enzyme	1xPN96_05365
R_rxn00676_c_enzyme	1xPN96_21465
R_rxn00676_c_duplicate_2_enzyme	1xPN96_19050
R_rxn00676_c_duplicate_3_enzyme	1xPN96_18050
R_rxn00676_c_duplicate_4_enzyme	1xPN96_02800
R_rxn00676_c_duplicate_5_enzyme	1xPN96_13245
R_rxn00678_c_enzyme	1xPN96_00570
R_rxn00679_c_enzyme	1xPN96_10585
R_rxn00679_c_duplicate_2_enzyme	1xPN96_05350
R_rxn00680_c_enzyme	1xPN96_22050
R_rxn00686_c_enzyme	1xPN96_11655
R_rxn00689_c_enzyme	1xPN96_02920
R_rxn00690_c_enzyme	1xPN96_20840
R_rxn00691_c_enzyme	1xPN96_09200
R_rxn00691_c_duplicate_2_enzyme	1xPN96_22160
R_rxn00692_c_enzyme	2xPN96_22185
R_rxn00692_c_duplicate_2_enzyme	2xPN96_09955
R_rxn00692_c_duplicate_3_enzyme	2xPN96_20950
R_rxn00693_c_enzyme	1xPN96_00265
R_rxn00695_c_enzyme	1xaverage_protein_Cytoplasm	4xPN96_20845
R_rxn00695_c_duplicate_2_enzyme	1xaverage_protein_Cytoplasm	4xPN96_08305
R_rxn00700_c_enzyme	1xPN96_08495
R_rxn00704_c_enzyme	1xPN96_09320
R_rxn00705_c_enzyme	1xPN96_16555
R_rxn00707_c_enzyme	1xPN96_03620
R_rxn00707_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00708_c_enzyme	1xPN96_20755
R_rxn00708_c_duplicate_2_enzyme	1xPN96_07525
R_rxn00708_c_duplicate_3_enzyme	1xPN96_09695
R_rxn00709_c_enzyme	1xPN96_03440
R_rxn00709_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00710_c_enzyme	2xPN96_03645
R_rxn00711_c_enzyme	1xaverage_protein_Cytoplasm	1xPN96_02430
R_rxn00712_c_enzyme	1xPN96_21535
R_rxn00713_c_enzyme	1xPN96_03440
R_rxn00713_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00715_c_enzyme	1xPN96_03440
R_rxn00715_c_duplicate_2_enzyme	1xPN96_21535
R_rxn00717_c_enzyme	1xPN96_17020
R_rxn00721_c_enzyme	1xPN96_02250
R_rxn00726_c_enzyme	1xPN96_05345
R_rxn00726_c_duplicate_2_enzyme	1xPN96_03930	1xPN96_03925
R_rxn00727_c_enzyme	1xPN96_05345
R_rxn00727_c_duplicate_2_enzyme	1xPN96_03930	1xPN96_03925
R_rxn00730_c_enzyme	3xPN96_01975
R_rxn00735_c_enzyme	2xPN96_11600
R_rxn00737_c_enzyme	4xPN96_13455
R_rxn00740_c_enzyme	1xPN96_14765
R_rxn00741_c_enzyme	1xPN96_15345
R_rxn00741_c_duplicate_2_enzyme	1xPN96_16800
R_rxn00743_c_enzyme	1xPN96_22465
R_rxn00743_c_duplicate_2_enzyme	1xPN96_03005
R_rxn00747_c_enzyme	2xPN96_12085
R_rxn00748_c_enzyme	1xPN96_19810
R_rxn00748_c_duplicate_2_enzyme	1xPN96_19735
R_rxn00748_c_duplicate_3_enzyme	1xPN96_04755
R_rxn00758_c_enzyme	1xPN96_16795
R_rxn00763_c_enzyme	1xPN96_04715
R_rxn00763_c_duplicate_2_enzyme	1xPN96_03185
R_rxn00763_c_duplicate_3_enzyme	1xPN96_22385
R_rxn00763_c_duplicate_4_enzyme	1xPN96_22510
R_rxn00763_c_duplicate_5_enzyme	1xPN96_04765
R_rxn00763_c_duplicate_6_enzyme	1xPN96_21525
R_rxn00763_c_duplicate_7_enzyme	1xPN96_22145
R_rxn00766_c_enzyme	1xPN96_17675
R_rxn00770_c_enzyme	6xPN96_09740
R_rxn00771_c_enzyme	4xPN96_07735
R_rxn00772_c_enzyme	2xPN96_19705
R_rxn00775_c_enzyme	1xPN96_17040
R_rxn00775_c_duplicate_2_enzyme	1xPN96_20215
R_rxn00775_c_duplicate_3_enzyme	1xPN96_11355
R_rxn00778_c_enzyme	1xPN96_14355
R_rxn00778_c_duplicate_2_enzyme	1xPN96_01750
R_rxn00781_c_enzyme	1xPN96_03030
R_rxn00782_c_enzyme	1xPN96_22900
R_rxn00782_c_duplicate_2_enzyme	1xPN96_05010
R_rxn00782_c_duplicate_3_enzyme	1xPN96_22225
R_rxn00783_c_enzyme	1xPN96_11430
R_rxn00784_c_enzyme	1xPN96_01740
R_rxn00785_c_enzyme	1xPN96_00890
R_rxn00785_c_duplicate_2_enzyme	1xPN96_18160
R_rxn00786_c_enzyme	1xPN96_00905
R_rxn00790_c_enzyme	1xPN96_02935
R_rxn00790_c_duplicate_2_enzyme	2xPN96_03920
R_rxn00791_c_enzyme	2xPN96_03920
R_rxn00794_c_enzyme	1xPN96_15500
R_rxn00794_c_duplicate_2_enzyme	1xPN96_15570
R_rxn00795_c_enzyme	1xPN96_15500
R_rxn00795_c_duplicate_2_enzyme	1xPN96_15570
R_rxn00798_c_enzyme	1xPN96_03915
R_rxn00799_c_enzyme	1xPN96_04250
R_rxn00799_c_duplicate_2_enzyme	1xPN96_14235
R_rxn00800_c_enzyme	1xPN96_07845
R_rxn00802_c_enzyme	1xPN96_14810
R_rxn00806_c_enzyme	1xPN96_21010
R_rxn00807_c_enzyme	1xPN96_09105
R_rxn00807_c_duplicate_2_enzyme	1xPN96_08915
