Enzyme	Concentration
R_DAPDC_enzyme	0.0
R_FBMO7_enzyme	0.0
R_FBMO7_duplicate_2_enzyme	0.0
R_FBMO7_duplicate_3_enzyme	0.0
R_FBMO7_duplicate_4_enzyme	0.0
R_UAGDP_enzyme	1.0343382513523102e-06
R_NO2t2r_enzyme	0
R_METabc_enzyme	0
R_CDPGD_enzyme	0.0
R_TOLabc_enzyme	0
R_AMAOTr_enzyme	0.0
R_AMAOTr_duplicate_2_enzyme	0.0
R_UPP3MT_enzyme	0.0
R_UPP3MT_duplicate_2_enzyme	0.0
R_UPP3MT_duplicate_3_enzyme	0.0
R_DAAD_enzyme	0.0
R_DAAD_duplicate_2_enzyme	0.0
R_DAAD_duplicate_3_enzyme	0.0
R_DAAD_duplicate_4_enzyme	0.0
R_DAAD_duplicate_5_enzyme	0.0
R_DAAD_duplicate_6_enzyme	0.0
R_DAAD_duplicate_7_enzyme	0.0
R_DAAD_duplicate_8_enzyme	0.0
R_PRGCS_enzyme	0.0
R_MNLpts_enzyme	0
R_SERt4_enzyme	0
R_OCOAT1m_enzyme	0.0
R_OCOAT1m_duplicate_2_enzyme	0.0
R_UPPRT_enzyme	0.0
R_UPPRT_duplicate_2_enzyme	2.094694598074548e-06
R_UPPRT_duplicate_3_enzyme	0.0
R_LDHm_enzyme	0.0
R_GAMpts_enzyme	0
R_PPCK_enzyme	0.0
R_ASPAM1_enzyme	0.0
R_BZACCOAT_enzyme	0.0
R_BZACCOAT_duplicate_2_enzyme	0.0
R_BZACCOAT_duplicate_3_enzyme	0.0
R_BZACCOAT_duplicate_4_enzyme	0.0
R_BZACCOAT_duplicate_5_enzyme	0.0
R_BZACCOAT_duplicate_6_enzyme	0.0
R_BZACCOAT_duplicate_7_enzyme	0.0
R_BZACCOAT_duplicate_8_enzyme	0.0
